YEAR;MONTH;SEX;CARAPACE;AREA;SHELL
2016;8;M;52;3101;
2016;8;M;33;3101;
2016;8;M;35;3101;
2016;8;M;36;3101;
2016;8;M;18;3101;
2016;8;M;35;3101;
2016;8;M;33;3101;
2016;8;M;37;3101;
2016;8;M;29;3101;
2016;8;M;33;3101;
2016;8;M;60;3101;30
2016;8;M;47;3101;
2016;8;M;52;3101;
2016;8;M;47;3101;
2016;8;M;41;3101;
2016;8;M;37;3101;
2016;8;M;40;3101;
2016;8;M;54;3101;
2016;8;M;33;3101;
2016;8;M;38;3101;
2016;8;M;58;3101;
2016;8;M;44;3101;
2016;8;M;54;3101;
2016;8;M;46;3101;
2016;8;M;35;3101;
2016;8;M;39;3101;
2016;8;M;34;3101;
2016;8;M;43;3101;
2016;8;M;64;3101;31
2016;8;M;37;3101;
2016;8;M;23;3101;
2016;8;M;28;3101;
2016;8;M;58;3101;
2016;8;M;33;3101;
2016;8;M;50;3101;
2016;8;M;47;3101;
2016;8;M;38;3101;
2016;8;F;37;3101;
2016;8;M;37;3101;
2016;8;M;28;3101;
2016;8;M;32;3101;
2016;8;F;33;3101;
2016;8;M;35;3101;
2016;8;F;25;3101;
2016;8;F;36;3101;
2016;8;M;60;3101;30
2016;8;F;45;3101;31
2016;8;M;42;3101;
2016;8;F;41;3101;
2016;8;M;29;3101;
2016;8;M;33;3101;
2016;8;M;31;3101;
2016;8;M;26;3101;
2016;8;M;26;3101;
2016;8;M;31;3101;
2016;8;F;25;3101;
2016;8;F;31;3101;
2016;8;M;30;3101;
2016;8;F;32;3101;
2016;8;F;35;3101;
2016;8;F;43;3101;31
2016;8;M;52;3101;
2016;8;F;45;3101;31
2016;8;M;47;3101;
2016;8;F;39;3101;31
2016;8;F;39;3101;
2016;8;F;39;3101;31
2016;8;M;31;3101;
2016;8;M;43;3101;
2016;8;F;42;3101;
2016;8;M;53;3101;
2016;8;M;53;3101;
2016;8;M;29;3101;
2016;8;M;54;3101;
2016;8;F;28;3101;
2016;8;F;33;3101;
2016;8;M;42;3101;
2016;8;M;28;3101;
2016;8;F;42;3101;31
